,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila Velha,-20.3297,-40.2925,64.35,94,40,3.44,BR,1624169083
1,Mataura,-46.1927,168.8643,45.48,95,76,3.51,NZ,1624168909
2,Cap Malheureux,-19.9842,57.6142,75.47,59,38,11.99,MU,1624169083
3,Wu’an,31.6836,112.0044,73.04,62,100,2.64,CN,1624169084
4,Rikitea,-23.1203,-134.9692,75.2,77,10,19.93,PF,1624169084
5,Saint-Philippe,-21.3585,55.7679,74.79,70,64,13.51,RE,1624169084
6,Los Llanos de Aridane,28.6585,-17.9182,62.35,85,0,17.27,ES,1624169085
7,Hithadhoo,-0.6,73.0833,83.75,69,83,10.29,MV,1624169085
8,Porto Santo,33.072,-16.3415,66.58,88,75,12.66,PT,1624169085
9,Yerbogachën,61.2767,108.0108,72.5,55,86,2.57,RU,1624169085
10,Storsteinnes,69.2408,19.2344,54.37,62,99,3.06,NO,1624169086
11,Yellowknife,62.456,-114.3525,43.72,60,16,7.4,CA,1624169086
12,Albany,42.6001,-73.9662,66.15,85,98,2.86,US,1624168920
13,Davila,18.4726,120.5763,87.78,75,87,20.49,PH,1624169087
14,Vila do Maio,15.1333,-23.2167,72.39,83,10,15.9,CV,1624169087
15,Hilo,19.7297,-155.09,74.93,82,75,0.0,US,1624169087
16,Cidreira,-30.1811,-50.2056,58.28,96,100,8.43,BR,1624169087
17,Cape Town,-33.9258,18.4232,64.81,11,0,8.05,ZA,1624169088
18,Khatanga,71.9667,102.5,85.33,25,8,18.1,RU,1624169088
19,Mar del Plata,-38.0023,-57.5575,44.13,69,0,3.0,AR,1624169088
20,Norman Wells,65.282,-126.8329,56.75,46,48,7.07,CA,1624169089
21,Malia,35.2833,25.4667,83.12,53,2,5.28,GR,1624169089
22,Saint-Pierre,-21.3393,55.4781,74.88,62,20,12.66,RE,1624168808
23,Tiksi,71.6872,128.8694,56.73,58,34,5.14,RU,1624169089
24,Busselton,-33.65,115.3333,53.1,81,70,9.86,AU,1624169089
25,Faanui,-16.4833,-151.75,80.58,78,14,12.62,PF,1624169090
26,Qaqortoq,60.7167,-46.0333,46.9,74,100,0.87,GL,1624169090
27,Hobart,-42.8794,147.3294,49.86,77,20,9.22,AU,1624168845
28,Saint Anthony,45.0205,-93.218,69.42,66,40,3.0,US,1624168971
29,New Norfolk,-42.7826,147.0587,48.58,79,10,0.56,AU,1624169090
30,Avarua,-21.2078,-159.775,73.45,60,40,12.66,CK,1624169091
31,Flagstaff,35.1981,-111.6513,80.26,33,1,0.0,US,1624169091
32,Deputatsky,69.3,139.9,77.14,25,46,13.8,RU,1624169091
33,Kahului,20.8947,-156.47,76.84,83,20,9.22,US,1624169091
34,Ushuaia,-54.8,-68.3,35.1,88,93,4.03,AR,1624168816
35,Naryan-Mar,67.6713,53.087,47.91,58,100,13.89,RU,1624169092
36,Arona,28.0996,-16.681,60.73,62,40,8.05,ES,1624169092
37,Daru,-9.0763,143.2092,80.28,73,59,14.14,PG,1624169092
38,Punta Arenas,-53.15,-70.9167,37.51,81,0,10.36,CL,1624169093
39,Berlevåg,70.8578,29.0864,46.85,77,95,1.7,NO,1624169093
40,Arrondissement de Vierzon,47.2101,2.0625,65.86,90,99,3.44,FR,1624169093
41,Zilair,52.2332,57.4392,74.3,56,2,13.6,RU,1624169094
42,Mpulungu,-8.7623,31.1141,70.29,56,5,10.74,ZM,1624169094
43,Nantucket,41.2835,-70.0995,71.71,90,90,11.5,US,1624169094
44,Kapaa,22.0752,-159.319,80.58,82,20,10.36,US,1624169094
45,Ancud,-41.8697,-73.8203,47.23,85,100,6.35,CL,1624169094
46,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,66,75,4.47,RU,1624169095
47,Provideniya,64.3833,-173.3,56.93,51,21,1.79,RU,1624169095
48,Nikolskoye,59.7035,30.7861,78.8,49,0,7.76,RU,1624169095
49,Bathsheba,13.2167,-59.5167,79.41,78,40,14.97,BB,1624169096
50,Souillac,-20.5167,57.5167,75.36,63,57,17.78,MU,1624169096
51,Hong Kong,22.2855,114.1577,95.05,84,86,1.99,HK,1624169091
52,Lorengau,-2.0226,147.2712,83.1,73,64,8.1,PG,1624169096
53,Chapais,49.7834,-74.8492,52.84,91,86,7.7,CA,1624169097
54,Asău,46.4333,26.4,67.75,96,70,6.26,RO,1624169097
55,Tūkrah,32.5341,20.5791,75.02,71,0,3.47,LY,1624169097
56,Talas,38.6908,35.5538,72.27,46,0,8.05,TR,1624169097
57,Namatanai,-3.6667,152.4333,82.74,70,95,5.19,PG,1624169098
58,Puertollano,38.6871,-4.1073,60.08,71,64,4.65,ES,1624169099
59,Muros,42.7762,-9.0603,61.16,87,70,13.18,ES,1624169099
60,Shimoda,34.6667,138.95,81.16,80,97,5.12,JP,1624168891
61,Isangel,-19.55,169.2667,77.18,85,98,5.64,VU,1624169099
62,Talnakh,69.4865,88.3972,44.4,94,100,7.74,RU,1624169100
63,Beidao,34.5686,105.8933,74.77,35,98,4.0,CN,1624169100
64,Peterhead,57.5058,-1.7981,54.1,76,67,8.16,GB,1624169100
65,Fortuna,40.5982,-124.1573,74.48,84,1,0.0,US,1624169101
66,Saint Paul Harbor,57.79,-152.4072,45.91,100,90,11.5,US,1624169101
67,Twentynine Palms,34.1356,-116.0542,94.06,13,6,3.0,US,1624168874
68,Bluff,-46.6,168.3333,45.81,79,39,10.69,NZ,1624169102
69,Makaleng,-20.9,27.2833,51.78,87,36,11.34,BW,1624169102
70,Gunjur,13.2019,-16.7339,73.47,49,40,6.91,GM,1624169102
71,Balyqshy,47.0667,51.8667,86.0,25,0,8.95,KZ,1624169103
72,Cuyotenango,14.5333,-91.5667,79.59,96,100,3.33,GT,1624169103
73,Jamestown,42.097,-79.2353,64.08,97,1,5.75,US,1624169103
74,Rørvik,64.8621,11.2373,49.84,80,95,18.45,NO,1624169103
75,Lebu,-37.6167,-73.65,46.24,81,65,3.02,CL,1624169104
76,Binzhou,37.3667,118.0167,100.27,15,25,12.01,CN,1624169104
77,Ilulissat,69.2167,-51.1,44.62,57,45,3.44,GL,1624169104
78,Racibórz,50.0919,18.2193,77.22,78,0,4.14,PL,1624169105
79,Sola,-13.8833,167.55,80.13,79,99,12.33,VU,1624169105
80,Kenai,60.5544,-151.2583,59.05,73,90,0.0,US,1624169105
81,Tuktoyaktuk,69.4541,-133.0374,56.14,46,12,10.07,CA,1624169106
82,Puerto Ayora,-0.7393,-90.3518,73.54,89,93,7.0,EC,1624169106
83,Kushiro,42.975,144.3747,50.72,97,100,18.05,JP,1624169106
84,Golden,39.7555,-105.2211,71.94,53,1,5.99,US,1624169106
85,Nazarovo,56.0064,90.3914,58.93,92,100,10.13,RU,1624169107
86,Nieuw Amsterdam,5.8833,-55.0833,77.02,91,11,6.76,SR,1624169107
87,Rocha,-34.4833,-54.3333,50.94,98,100,8.03,UY,1624169108
88,Nguru,12.8791,10.4526,85.14,52,76,10.49,NG,1624169108
89,Saskylakh,71.9167,114.0833,87.85,18,31,13.47,RU,1624169109
90,Koslan,63.4564,48.8989,59.61,42,53,5.03,RU,1624169109
91,Castro,-24.7911,-50.0119,54.14,97,99,7.36,BR,1624169109
92,Toora-Khem,52.4675,96.11,84.97,24,81,2.3,RU,1624169110
93,Carnarvon,-24.8667,113.6333,69.87,45,1,8.05,AU,1624169110
94,Aykhal,66.0,111.5,73.94,46,94,5.39,RU,1624169110
95,Richards Bay,-28.783,32.0377,61.11,78,0,7.63,ZA,1624169110
96,Chokurdakh,70.6333,147.9167,68.9,25,18,11.7,RU,1624169111
97,Seabra,-12.4186,-41.7703,56.98,97,15,4.83,BR,1624169111
98,Podgorica,42.4411,19.2636,77.5,73,0,1.14,ME,1624169111
99,Dzhebariki-Khaya,62.2167,135.8,87.44,24,97,4.21,RU,1624169112
100,Anadyr,64.75,177.4833,38.95,92,87,11.9,RU,1624169112
101,Novouzensk,50.4592,48.1431,78.22,43,0,5.95,RU,1624169113
102,Ostrovnoy,68.0531,39.5131,54.99,64,100,0.69,RU,1624169113
103,Bredasdorp,-34.5322,20.0403,59.59,37,30,6.53,ZA,1624169113
104,Pevek,69.7008,170.3133,44.51,73,26,5.14,RU,1624169113
105,Donskoye,45.4552,41.9741,74.97,55,16,16.58,RU,1624169114
106,Whitehorse,60.7161,-135.0538,66.02,58,65,5.5,CA,1624169114
